opening_eco,opening_name,opening_ply,Opening_ID,Opening_Family,Complexity_Level
D10,Slav Defense: Exchange Variation,5,1,Slav Defense,Intermediate
B00,Nimzowitsch Defense: Kennedy Variation,4,2,Nimzowitsch Defense,Intermediate
C20,King's Pawn Game: Leonardis Variation,3,3,King's Pawn Game,Basic
D02,Queen's Pawn Game: Zukertort Variation,3,4,Queen's Pawn Game,Basic
C41,Philidor Defense,5,5,Philidor Defense,Intermediate
B27,Sicilian Defense: Mongoose Variation,4,6,Sicilian Defense,Intermediate
D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10,7,Blackmar-Diemer Gambit,Advanced
B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5,8,Nimzowitsch Defense,Intermediate
C50,Italian Game: Schilling-Kostic Gambit,6,9,Italian Game,Intermediate
B01,Scandinavian Defense: Mieses-Kotroc Variation,4,10,Scandinavian Defense,Intermediate
A00,Van't Kruijs Opening,1,11,Van't Kruijs Opening,Basic
C02,French Defense: Advance Variation |  Paulsen Attack,9,12,French Defense,Advanced
C00,French Defense: Knight Variation,3,13,French Defense,Basic
C00,French Defense #2,2,14,French Defense #2,Basic
C50,Four Knights Game: Italian Variation,8,15,Four Knights Game,Advanced
C57,Italian Game: Two Knights Defense |  Knight Attack,7,16,Italian Game,Intermediate
C41,Philidor Defense #3,5,17,Philidor Defense #3,Intermediate
D00,Queen's Pawn Game,2,18,Queen's Pawn Game,Basic
C55,Italian Game: Anti-Fried Liver Defense,6,19,Italian Game,Intermediate
A40,Horwitz Defense,2,20,Horwitz Defense,Basic
B20,Sicilian Defense: Bowdler Attack,3,21,Sicilian Defense,Basic
A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4,22,English Opening,Intermediate
B21,Sicilian Defense: Smith-Morra Gambit #2,3,23,Sicilian Defense,Basic
D01,Queen's Pawn Game: Chigorin Variation,4,24,Queen's Pawn Game,Intermediate
C45,Scotch Game: Haxo Gambit,8,25,Scotch Game,Advanced
D10,Slav Defense,4,26,Slav Defense,Intermediate
D06,Queen's Gambit Refused: Marshall Defense,4,27,Queen's Gambit Refused,Intermediate
