Player_ID,Total_Games,Total_Wins,Average_Rating,Win_Rate_%,Player_Tier
--jim--,1,0,986.0,0.0,Beginner
-0olo0-,1,0,1860.0,0.0,Expert
-l-_jedi_knight_-l-,1312,843,1466.0,64.25,Casual
-mati-,132,132,1252.0,100.0,Casual
-pavel-,132,132,1383.0,100.0,Casual
1063314,2,2,1670.0,100.0,Club Player
1111112222,144,1,1504.0,0.69,Club Player
1240100948,1948,1118,1698.0,57.39,Club Player
12ss34,60,60,1615.0,100.0,Club Player
1714-2014,61,0,1422.0,0.0,Casual
20200,14,13,1229.0,92.86,Casual
222222,28,28,1076.0,100.0,Beginner
2700172,139,126,1884.0,90.65,Expert
29rus,7,7,1492.0,100.0,Casual
2vincent2,1,0,1486.0,0.0,Casual
334,1,1,1418.0,100.0,Casual
5b2013jonathan,2,1,1548.0,50.0,Club Player
5meodipt,1,0,1374.0,0.0,Casual
79165333785,2,2,1781.0,100.0,Club Player
8124524987,16,16,1348.0,100.0,Casual
89178820401,142,142,1469.0,100.0,Casual
a-00,257,0,1350.0,0.0,Casual
a-devi,23,23,1679.0,100.0,Club Player
a-maniac-hell,24,0,1328.0,0.0,Casual
a-mb,284,0,1626.0,0.0,Club Player
a123soup,46,0,1213.0,0.0,Casual
a1s2d3,1,1,1498.0,100.0,Casual
a2520,2,2,1831.0,100.0,Expert
a3o,142,142,1674.0,100.0,Club Player
a55s72,21,6,1539.0,28.57,Club Player
a7twen,2,0,1500.0,0.0,Casual
a87144434784,30,0,1848.0,0.0,Expert
a9200012,142,142,1868.0,100.0,Expert
a99mimon,78,78,1545.0,100.0,Club Player
a_arda_y,79,24,1500.0,30.38,Casual
a_b_d_o,1,0,2017.0,0.0,Expert
a_p_t_e_m_u_u,182,159,1355.0,87.36,Casual
a_raccoon,17,1,1435.0,5.88,Casual
a_sonnadjoshi,132,0,1500.0,0.0,Casual
a_th-19,2,2,1878.0,100.0,Expert
aa2000,123,0,1833.0,0.0,Expert
aa2009,2,1,1919.0,50.0,Expert
aa22bb,35,35,1858.0,100.0,Expert
aaa_1,1,1,1384.0,100.0,Casual
aaaaaaaddd,159,26,1793.0,16.35,Club Player
aaabbb111222,33,0,1772.0,0.0,Club Player
aabmuslim,15,15,1500.0,100.0,Casual
aalmeida,24,0,1819.0,0.0,Expert
aanady,2,2,1640.0,100.0,Club Player
aandersoares,1,0,1500.0,0.0,Casual
aaoott,45,45,1318.0,100.0,Casual
aart7778797,46,46,1538.0,100.0,Club Player
aarush_shukla,142,0,1286.0,0.0,Casual
aarya143,2,0,1454.0,0.0,Casual
aayalac,1,0,1835.0,0.0,Expert
ab2,1,0,1666.0,0.0,Club Player
ab_elkholy,39,0,1658.0,0.0,Club Player
abaraba,852,852,1903.0,100.0,Expert
abasdelvar,1,0,1498.0,0.0,Casual
abayanko,1,0,1490.0,0.0,Casual
abba111,142,142,1317.0,100.0,Casual
abbas25865,1,1,1874.0,100.0,Expert
abbedreza,1,1,1637.0,100.0,Club Player
abbykoopman22,324,0,1116.0,0.0,Beginner
abcd0987,58,29,1905.0,50.0,Expert
abcd1611,284,142,1858.0,50.0,Expert
abcheck,1,1,1768.0,100.0,Club Player
abdalla1,1,1,1706.0,100.0,Club Player
abdallah993,284,142,1398.0,50.0,Casual
abdallah_t_mahmoud,40,0,1702.0,0.0,Club Player
abdallahsweden,10,10,1649.0,100.0,Club Player
abdel19,1,0,1677.0,0.0,Club Player
abdelkaben,1,0,1629.0,0.0,Club Player
abdelkadeer,1,0,1753.0,0.0,Club Player
abdiellopez4,252,0,1096.0,0.0,Beginner
abdiguna39,1,0,1757.0,0.0,Club Player
abdito,1,0,1110.0,0.0,Beginner
abdo72,1,1,1969.0,100.0,Expert
abdollahi41347,1,1,1784.0,100.0,Club Player
abdolvhab,1,0,1965.0,0.0,Expert
abdosalah,30,30,1900.0,100.0,Expert
abdoshepl,112,112,1642.0,100.0,Club Player
abdoulrhman,1,1,1515.0,100.0,Club Player
abdouorabi,9,0,2111.0,0.0,Expert
abdula67,134,0,1645.0,0.0,Club Player
abdulla22,1,0,1643.0,0.0,Club Player
abdullah116,1,0,1786.0,0.0,Club Player
abdullahhadi3,1,0,1368.0,0.0,Casual
abdullahsuper1,15,0,1723.0,0.0,Club Player
abdulmajeed21,1,1,1320.0,100.0,Casual
abekabek,2,1,1624.0,50.0,Club Player
abel233,1,1,1904.0,100.0,Expert
abel4865,178,0,1722.0,0.0,Club Player
abeq,1,0,1851.0,0.0,Expert
abhay2188,142,0,1474.0,0.0,Casual
abhi07,1,1,1726.0,100.0,Club Player
abhijeet24,1,1,1898.0,100.0,Expert
abhinandan46698,2,2,1842.0,100.0,Expert
abhishek1981,1,0,1542.0,0.0,Club Player
abhradeep,1,0,1602.0,0.0,Club Player
abhydtech,1,1,1500.0,100.0,Casual
abidara,2,1,2012.0,50.0,Expert
abidazad,3,0,1500.0,0.0,Casual
abikhoshnavaz,2,0,1847.0,0.0,Expert
abirray,1,1,1495.0,100.0,Casual
abischabi,132,132,1500.0,100.0,Casual
abiyogenez,1,1,1569.0,100.0,Club Player
abja40,2,2,2016.0,100.0,Expert
abm-1302,8,0,1606.0,0.0,Club Player
abmarac,1,1,1368.0,100.0,Casual
abner93rubiks,13,13,1390.0,100.0,Casual
abnormalchess,111,0,2305.0,0.0,Master
abo7amdo,1,1,1154.0,100.0,Beginner
aboabdo,1,0,1727.0,0.0,Club Player
aboadbau,1,1,1184.0,100.0,Beginner
aboameer,142,0,954.0,0.0,Beginner
abofaz,1,1,1747.0,100.0,Club Player
abohadi15,2,0,1426.0,0.0,Casual
abolfaz14,142,142,1781.0,100.0,Club Player
abolfazl1386,112,0,1500.0,0.0,Casual
abolfazlm72,1,1,1212.0,100.0,Casual
abolith,1,0,1846.0,0.0,Expert
abomarzouk,284,142,1943.0,50.0,Expert
abondano,1,1,1319.0,100.0,Casual
aboohanafi,1,1,1522.0,100.0,Club Player
aboud,1928,987,1582.0,51.19,Club Player
abricot,24,24,1500.0,100.0,Casual
abrigo,19,19,2085.0,100.0,Expert
abril40,132,0,1531.0,0.0,Club Player
abs1985,111,0,1851.0,0.0,Expert
abstract1972,1,1,1884.0,100.0,Expert
abstractmind_77,1,1,1911.0,100.0,Expert
absyntheminded,132,132,1074.0,100.0,Beginner
abujssar,5,4,1472.0,80.0,Casual
abusadiq67,1,0,1500.0,0.0,Casual
abuzeen-300,2,2,1999.0,100.0,Expert
abylai,134,0,1725.0,0.0,Club Player
ac80,1,0,1323.0,0.0,Casual
ac85,1,1,1383.0,100.0,Casual
aca021,1,0,1622.0,0.0,Club Player
acadakic,123,123,1481.0,100.0,Casual
academicninja99,2,2,1500.0,100.0,Casual
acahn,2,2,1461.0,100.0,Casual
acalkins,1,0,1560.0,0.0,Club Player
acamus66,1,0,2030.0,0.0,Expert
acapaca,1,0,1823.0,0.0,Expert
acarina,54,0,1377.0,0.0,Casual
accesspror4,3,2,1484.0,66.67,Casual
accghjms,132,132,1814.0,100.0,Expert
accountant11,22,0,1247.0,0.0,Casual
accrochetaceinture,134,134,1653.0,100.0,Club Player
aceituna,1,1,1506.0,100.0,Club Player
acer987,1,1,1272.0,100.0,Casual
achessplayer2016,2,0,1752.0,0.0,Club Player
achibbi8,18,0,1579.0,0.0,Club Player
achikotetunashvili,3,1,1650.0,33.33,Club Player
achille52,1,0,2043.0,0.0,Expert
achim84,1,0,1479.0,0.0,Casual
achter,12,12,1436.0,100.0,Casual
achternbusch2,1,0,1911.0,0.0,Expert
acidinsomnia,1,1,1012.0,100.0,Beginner
acidkat930,880,159,969.0,18.07,Beginner
acidrain1613,142,0,1935.0,0.0,Expert
acidrain89,1,1,1592.0,100.0,Club Player
acidus,1,0,1231.0,0.0,Casual
acj4-chess,1,0,1500.0,0.0,Casual
acmilan1,1,0,1414.0,0.0,Casual
acoffee,55,55,1638.0,100.0,Club Player
acostadamaia,15,15,1500.0,100.0,Casual
acpok,123,123,1594.0,100.0,Club Player
acrossimpact,284,284,960.0,100.0,Beginner
acrux,1,0,1599.0,0.0,Club Player
acsinteco,1,1,1561.0,100.0,Club Player
activeguard,142,142,1593.0,100.0,Club Player
acuadros,123,0,1500.0,0.0,Casual
acuario22,132,0,1765.0,0.0,Club Player
acustic,1,1,1550.0,100.0,Club Player
acutefluffycrab,1,1,1771.0,100.0,Club Player
acyang,222,111,1446.0,50.0,Casual
acye,284,142,2270.0,50.0,Master
adabriwala,2,2,1446.0,100.0,Casual
adaert,2,2,1649.0,100.0,Club Player
adam0001,79,0,1209.0,0.0,Casual
adam1920,46,0,1975.0,0.0,Expert
adam1969,1,0,1231.0,0.0,Casual
adam22,1,0,1752.0,0.0,Club Player
adamadem,2,2,1606.0,100.0,Club Player
adamsandler,134,0,2103.0,0.0,Expert
adamsmith316,16,16,1041.0,100.0,Beginner
adamsoun,1,1,1430.0,100.0,Casual
adamstrong,1,1,1845.0,100.0,Expert
adamzhorzhevych,20,0,1457.0,0.0,Casual
adarsh2001,142,142,1203.0,100.0,Casual
adatene,43,18,1611.0,41.86,Club Player
adcz,202,0,1728.0,0.0,Club Player
addgun,1,1,1500.0,100.0,Casual
addict51,1,1,1743.0,100.0,Club Player
addir69,1,0,1534.0,0.0,Club Player
addytino,1,1,1562.0,100.0,Club Player
addyw,1,1,1606.0,100.0,Club Player
adei,111,0,1226.0,0.0,Casual
adel1969,123,0,1547.0,0.0,Club Player
adel_leda,112,0,1500.0,0.0,Casual
adelfas,1,0,1708.0,0.0,Club Player
adelko,2,2,1470.0,100.0,Casual
adenildo,1,0,1950.0,0.0,Expert
aderbalco,39,39,1547.0,100.0,Club Player
aderus,1,0,1259.0,0.0,Casual
adesh46,1,1,1828.0,100.0,Expert
adesso,111,111,1632.0,100.0,Club Player
adgofe,1,1,1794.0,100.0,Club Player
adhen,568,426,1756.0,75.0,Club Player
adhonay,1,1,1402.0,100.0,Casual
adi_tiwari,1,1,1458.0,100.0,Casual
adictochesser,4,1,1950.0,25.0,Expert
adictus11,1,1,1278.0,100.0,Casual
adikamat,134,134,1817.0,100.0,Expert
adil_undeniable,1,0,1756.0,0.0,Club Player
adilet123,89,89,1515.0,100.0,Club Player
adilsonconciani,130,0,1825.0,0.0,Expert
adilsontxyw,1,0,1530.0,0.0,Club Player
adivanov2009,7,0,1467.0,0.0,Casual
adkinley,132,0,1406.0,0.0,Casual
admin_skom,1,0,1954.0,0.0,Expert
adminhitam,135,0,1452.0,0.0,Casual
admirim_i,1,1,1635.0,100.0,Club Player
admx,2,0,1500.0,0.0,Casual
adn_bravo88,111,0,1500.0,0.0,Casual
adnanraj,1,1,1343.0,100.0,Casual
adonaiadan,1,0,1729.0,0.0,Club Player
adorna,1,1,1583.0,100.0,Club Player
adovaro,1,0,1372.0,0.0,Casual
adri_taubate_brasil,1,0,1527.0,0.0,Club Player
adriahikmal,1,1,1141.0,100.0,Beginner
adrian-xt,1,1,1567.0,100.0,Club Player
adrian123456789,1,1,1507.0,100.0,Club Player
adrianjunior,6,0,1381.0,0.0,Casual
adrianomasson,1,1,1494.0,100.0,Casual
adrianovidiu1980,1,0,1553.0,0.0,Club Player
adriansywu,380,146,1403.0,38.42,Casual
adriaticor2,134,0,1412.0,0.0,Casual
adryy,123,0,1140.0,0.0,Beginner
adsoargento,24,0,1950.0,0.0,Expert
adsoo,1,0,1675.0,0.0,Club Player
