increment_code,total_time,initial_time,increment,Speed_Category,Time_ID
15+2,15.433333333333334,15,2,Rapid,1
5+10,7.666666666666666,5,10,Rapid,2
5+10,15.166666666666666,5,10,Rapid,3
20+0,20.0,20,0,Rapid,4
30+3,34.75,30,3,Classic,5
10+0,10.0,10,0,Rapid,6
15+30,19.5,15,30,Classic,7
15+0,15.0,15,0,Rapid,8
20+60,59.0,20,60,Classic,9
20+60,58.0,20,60,Classic,10
5+40,45.0,5,40,Classic,11
8+0,8.0,8,0,Blitz,12
15+15,22.75,15,15,Classic,13
15+15,25.75,15,15,Classic,14
15+15,28.0,15,15,Classic,15
15+16,32.6,15,16,Classic,16
15+15,40.25,15,15,Classic,17
11+0,11.0,11,0,Rapid,18
15+15,18.5,15,15,Classic,19
30+60,33.0,30,60,Classic,20
15+5,16.416666666666668,15,5,Rapid,21
10+10,21.5,10,10,Rapid,22
10+10,17.166666666666664,10,10,Rapid,23
10+10,19.0,10,10,Rapid,24
10+10,18.83333333333333,10,10,Rapid,25
10+10,21.0,10,10,Rapid,26
10+10,20.666666666666664,10,10,Rapid,27
15+3,16.05,15,3,Rapid,28
18+0,18.0,18,0,Rapid,29
30+30,47.0,30,30,Classic,30
20+25,33.333333333333336,20,25,Classic,31
5+5,10.916666666666666,5,5,Rapid,32
30+0,30.0,30,0,Classic,33
40+40,84.0,40,40,Classic,34
40+40,63.33333333333333,40,40,Classic,35
40+40,67.33333333333333,40,40,Classic,36
16+0,16.0,16,0,Rapid,37
6+10,6.5,6,10,Rapid,38
8+10,14.166666666666666,8,10,Rapid,39
8+12,17.8,8,12,Rapid,40
8+12,14.4,8,12,Rapid,41
8+12,13.0,8,12,Rapid,42
5+10,11.666666666666666,5,10,Rapid,43
7+12,14.8,7,12,Rapid,44
15+10,24.5,15,10,Rapid,45
5+40,57.0,5,40,Classic,46
15+5,20.08333333333333,15,5,Rapid,47
20+5,23.666666666666668,20,5,Rapid,48
20+5,25.166666666666664,20,5,Rapid,49
20+5,27.25,20,5,Rapid,50
20+5,24.5,20,5,Rapid,51
15+5,19.5,15,5,Rapid,52
15+5,18.08333333333333,15,5,Rapid,53
15+5,19.166666666666664,15,5,Rapid,54
15+5,18.916666666666668,15,5,Rapid,55
15+5,20.33333333333333,15,5,Rapid,56
15+5,19.75,15,5,Rapid,57
15+5,19.25,15,5,Rapid,58
15+5,19.83333333333333,15,5,Rapid,59
15+5,20.916666666666664,15,5,Rapid,60
15+5,24.5,15,5,Rapid,61
15+5,18.25,15,5,Rapid,62
15+5,16.666666666666668,15,5,Rapid,63
20+10,25.666666666666664,20,10,Classic,64
20+10,28.5,20,10,Classic,65
20+10,31.5,20,10,Classic,66
20+10,24.666666666666664,20,10,Classic,67
20+10,30.33333333333333,20,10,Classic,68
20+10,34.166666666666664,20,10,Classic,69
20+10,26.33333333333333,20,10,Classic,70
45+0,45.0,45,0,Classic,71
5+8,10.333333333333332,5,8,Rapid,72
15+15,21.5,15,15,Classic,73
15+15,20.75,15,15,Classic,74
15+15,44.5,15,15,Classic,75
15+15,31.5,15,15,Classic,76
15+15,45.0,15,15,Classic,77
15+15,24.0,15,15,Classic,78
15+15,30.5,15,15,Classic,79
15+15,24.25,15,15,Classic,80
15+15,21.0,15,15,Classic,81
30+2,31.566666666666663,30,2,Classic,82
15+15,17.25,15,15,Classic,83
15+15,26.75,15,15,Classic,84
15+15,36.25,15,15,Classic,85
15+15,24.75,15,15,Classic,86
15+15,29.5,15,15,Classic,87
15+15,38.75,15,15,Classic,88
15+15,15.5,15,15,Classic,89
15+15,39.25,15,15,Classic,90
15+15,18.0,15,15,Classic,91
15+15,22.5,15,15,Classic,92
15+15,17.75,15,15,Classic,93
15+15,33.0,15,15,Classic,94
15+15,54.0,15,15,Classic,95
25+0,25.0,25,0,Rapid,96
10+2,12.566666666666666,10,2,Rapid,97
15+15,23.75,15,15,Classic,98
15+15,27.5,15,15,Classic,99
10+10,28.5,10,10,Rapid,100
7+2,9.166666666666666,7,2,Blitz,101
15+5,20.83333333333333,15,5,Rapid,102
25+25,39.16666666666667,25,25,Classic,103
10+10,20.5,10,10,Rapid,104
10+10,27.83333333333333,10,10,Rapid,105
20+5,22.83333333333333,20,5,Rapid,106
5+5,11.666666666666666,5,5,Rapid,107
7+8,17.266666666666666,7,8,Rapid,108
6+6,21.8,6,6,Rapid,109
15+5,23.916666666666664,15,5,Rapid,110
15+5,19.916666666666664,15,5,Rapid,111
10+4,16.4,10,4,Rapid,112
12+0,12.0,12,0,Rapid,113
15+15,24.5,15,15,Classic,114
7+2,8.966666666666667,7,2,Blitz,115
7+2,10.7,7,2,Blitz,116
7+2,7.933333333333334,7,2,Blitz,117
7+2,10.366666666666667,7,2,Blitz,118
7+2,7.5,7,2,Blitz,119
7+2,8.4,7,2,Blitz,120
